logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Protein.Ids	Genes	Protein.Names	First.Protein.Description	EnsemblGeneID
-0.6293491994653457	-0.6883190582015729	-0.5703793407291186	12.919125144716496	-21.043065793392298	6.812720924644503e-53	1.125461496751272e-49	109.79801542422584	Q91YI0	Asl	ARLY_MOUSE	Argininosuccinate lyase	ENSMUSG00000025533
-0.5021677644853727	-0.5496305642787072	-0.45470496469203825	14.155580870825636	-20.861373262172012	2.2747622971004604e-52	1.8789536574049803e-49	108.60259304185087	P11725	Otc	OTC_MOUSE	Ornithine transcarbamylase, mitochondrial	ENSMUSG00000031173
-0.6674868215094947	-0.738457737590979	-0.5965159054280104	12.86949334835215	-18.54426825175586	1.5002825043059846e-45	8.261555657044954e-43	93.02516769155827	P50172	Hsd11b1	DHI1_MOUSE	Corticosteroid 11-beta-dehydrogenase isozyme 1	ENSMUSG00000016194
-0.3532848653222632	-0.39412755689158063	-0.3124421737529458	15.800869077971395	-17.055250178525103	4.805359982303915e-41	1.9846136726915167e-38	82.72597072731139	Q91Y97	Aldob	ALDOB_MOUSE	Fructose-bisphosphate aldolase B	ENSMUSG00000028307
-0.5996725315078221	-0.6712870226865584	-0.5280580403290858	11.20279195954529	-16.510516586870274	2.2364625463624442e-39	7.196702018362112e-37	78.91258647959637	Q91XD4	Ftcd	FTCD_MOUSE	Formimidoyltransferase-cyclodeaminase	ENSMUSG00000001155
0.7110403968410214	0.6260124801508359	0.7960683135312069	12.893018244723566	16.48846221363813	2.6138142923833337e-39	7.196702018362112e-37	78.75775833476308	Q8VCH0	Acaa1b	THIKB_MOUSE	3-ketoacyl-CoA thiolase B, peroxisomal	ENSMUSG00000010651
-0.9374855195574988	-1.0501604328690777	-0.82481060624592	16.291196459729157	-16.405321736725963	4.706117555186552e-39	1.1106437430240263e-36	78.1738012448806	P16460	Ass1	ASSY_MOUSE	Argininosuccinate synthase	ENSMUSG00000076441
-0.4930742970877506	-0.5536457352160057	-0.4325028589594955	10.436897358748885	-16.05062305404952	5.811626083892033e-38	1.2001007863237048e-35	75.67765950270942	Q3V117	Acly	Q3V117_MOUSE	ATP-citrate synthase	ENSMUSG00000020917
0.6041225096295643	0.5297086372043864	0.6785363820547421	12.146721412457786	16.007316383943042	7.903112785753628e-38	1.4506602580072214e-35	75.37238990347487	P37040	Por	NCPR_MOUSE	NADPH--cytochrome P450 reductase	ENSMUSG00000005514
-0.6486731948068937	-0.7288079815853297	-0.5685384080284577	10.786942028585996	-15.963134720174054	2.0906295497465376e-37	3.45372001618128e-35	74.41720952335953	Q3UEL5	Uroc1	Q3UEL5_MOUSE	Imidazolonepropionate hydrolase	ENSMUSG00000034456
0.49047070904463314	0.42862410876422974	0.5523173093250365	11.8130047271748	15.636684062370433	1.101752718132488e-36	1.654632263958973e-34	72.75576476396509	Q921H8	Acaa1a	THIKA_MOUSE	3-ketoacyl-CoA thiolase A, peroxisomal	ENSMUSG00000036138
-0.7811421587808182	-0.8797844021125731	-0.6824999154490632	16.49089134833221	-15.614013607191612	1.2947064639598065e-36	1.7823792320513335e-34	72.59549558749117	Q8C196	Cps1	CPSM_MOUSE	Carbamoyl-phosphate synthase [ammonia], mitochondrial	ENSMUSG00000025991
-0.6811309937018674	-0.7687449202330411	-0.5935170671706936	13.373584446188556	-15.32868552941543	9.887953971738024e-36	1.256530766254709e-33	70.57647066425301	P56593	Cyp2a12	CP2AC_MOUSE	Cytochrome P450 2A12	ENSMUSG00000060407
-0.7852013480404705	-0.8881869444108925	-0.6822157516700484	15.699157818618422	-15.033218322892653	8.143820333822659e-35	9.609707993910738e-33	68.48247497135827	Q61176	Arg1	ARGI1_MOUSE	Arginase-1	ENSMUSG00000019987
0.48044119921120804	0.41733090322017413	0.543551495202242	10.4940962483329	15.011130662667055	1.193955961772587e-34	1.314943499232209e-32	68.10681344073004	P50285	Fmo1	FMO1_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 1	ENSMUSG00000040181
0.5325225948697134	0.46127793591494803	0.6037672538244788	14.37911913456418	14.737816473872291	6.721614570098937e-34	6.940067043627153e-32	66.38639603477492	Q64459	Cyp3a11	CP3AB_MOUSE	Cytochrome P450 3A11	ENSMUSG00000056035
-0.22902695766921186	-0.25984134044967905	-0.19821257488874466	16.84324386611106	-14.654821983768501	1.2166530790512582e-33	1.182300521525105e-31	65.79714203683511	P56480	Atp5f1b	ATPB_MOUSE	ATP synthase subunit beta, mitochondrial	ENSMUSG00000025393
1.0372068019131238	0.9058706827451584	1.1685429210810891	11.02983918130987	15.602074577565853	1.980110522319583e-33	1.8173014349288616e-31	65.42967640538103	P00186	Cyp1a2	CP1A2_MOUSE	Cytochrome P450 1A2	ENSMUSG00000032310
-0.3562438710165269	-0.4046070651246829	-0.30788067690837084	11.448296480081618	-14.523786022700229	3.105522523923271e-33	2.700170110274339e-31	64.86655956021565	Q99K67	Aass	AASS_MOUSE	Alpha-aminoadipic semialdehyde synthase, mitochondrial	ENSMUSG00000029695
